t,h,_entailment,_id,_similarity
Um filhote de gato está brincando com um brinquedo feito de corda azul,Um filhote de gato está brincando com um brinquedo,Entailment,23,4.6
Um homem está tocando uma flauta,Um homem está tocando um instrumento,Entailment,24,4.5
Dois meninos estão brincando em um trampolim,Alguns meninos estão brincando no trampolim,Entailment,25,4.7
Dois cachorros estão em um canil em suas patas traseiras e estão um de frente um para o outro,Dois animais estão em um canil em suas patas traseiras e estão de frente um para o outro,Entailment,26,4.6
Uma cebola está sendo cortada por um homem,Uma cebola está sendo fatiada por um homem,Entailment,27,4.8
Um homem está esvaziando um recipiente de plástico,Um homem está esvaziando um recipiente feito de plástico,Entailment,28,4.9
Um animal está correndo cansadamente em círculos,Um animal está correndo em círculos,Entailment,29,4.3
Uma senhora está misturando uma mistura feita de carne em uma tigela,Uma senhora está misturando uma mistura de carne em uma tigela,Entailment,30,5
Um homem está andando a cavalo,Um homem está montando um animal,Entailment,31,4.4
O homem está montando um cavalo perto de um riacho,O homem está montando um cavalo perto de uma correnteza,Entailment,32,4.4
Uma mulher está de pé na praia com um cachorro em uma coleira,Uma mulher está de pé na praia com um animal em uma coleira,Entailment,33,4.6
Um cavalo está sendo montado por uma mulher,Uma mulher está andando a cavalo,Entailment,34,5
Uma mulher está usando um capacete azul e está andando de bicicleta em um estacionamento,O ciclista não está andando em uma rua da cidade,Entailment,35,3.3
O macaco está sendo treinado em artes marciais,O macaco está praticando artes marciais,Entailment,36,4.3
"O avião, que é sul-africano, está voando em um céu azul",Um avião está voando pelo ar,Entailment,37,4.5
Um cachorro está pulando em uma bola de futebol azul brilhante em um campo de folhas secas,Um animal está pulando em uma bola de futebol azul brilhante em um campo de folhas secas,Entailment,38,4.4
Uma senhora está parada perto de três crianças,Uma mulher está de pé perto de três crianças,Entailment,39,4.9
Um cachorro está correndo atrás de uma bola na grama,O cachorro está perseguindo uma bola na grama,Entailment,40,4.7
Um cervo selvagem está pulando uma cerca,O cervo está pulando sobre uma cerca,Entailment,41,4.5
Um menino pequeno está sentado num túnel verde com um sorriso em seu rosto,"Um menino, que é pequeno, está sentado em um túnel verde com um sorriso em seu rosto",Entailment,42,4.8
A senhora de idade está esperando ansiosamente na calçada,A senhora de idade está esperando na calçada,Entailment,43,4.7
Uma menina está praticando o piano,Uma menina está tocando o piano,Entailment,44,4.5
Uma mulher está adicionando ingredientes em uma tigela grande,Uma mulher está adicionando ingredientes a uma tigela,Entailment,45,4.6
O homem está dançando selvagemente,O homem está dançando,Entailment,46,4.7
Uma mulher está fatiando uma berinjela,A mulher está cortando um vegetal,Entailment,47,4.4
Um esquilo está insanamente girando em círculos,Um esquilo está correndo em círculos,Entailment,48,4.45
Um homem está cortando uma placa de papel,Uma placa de papel está sendo cortada por um homem,Entailment,49,5
A mulher está cortando alho em cubos,Uma mulher está fatiando alho,Entailment,50,4.6
Dois companheiros de equipe estão levando um jogador de futebol com um uniforme vermelho e branco,Um jogador de futebol de uniforme vermelho e branco está sendo erguido por dois colegas de time,Entailment,51,4.9
O sol está brilhando na face da menina que está com o vestido tingido de amarelo,O sol está brilhando no rosto da menina que está de vestido amarelo,Entailment,52,4.8
"Uma criança, que é jovem, está usando um casaco branco e jogando um jogo",Uma criança jovem está vestindo um casaco branco e jogando um jogo,Entailment,53,4.9
O homem está tocando um violão acústico,Um homem está tocando o violão,Entailment,54,4.6
Um cachorro castanho está pulando no ar,"Um cachorro, que é castanho, está pulando no ar",Entailment,55,4.9
Um homem está segurando um sapo descuidadamente,Um sapo está sendo segurado descuidadamente por um homem,Entailment,56,4.8
A pessoa está fatiando um dente de alho em pedaços,Uma pessoa está fatiando um dente de alho em pedaços,Entailment,57,4.9
A apresentação está sendo assistida por uma classe de estudantes,A apresentação está sendo assistida por uma turma de estudantes,Entailment,58,4.8
Um homem está fatiando uma batata em pedaços,Um homem está cortando uma batata em pedaços,Entailment,59,4.6
Um cachorro está empurrando uma criança pequena para uma poça de chuva,Um cachorro está empurrando uma criança pequena dentro de uma poça de chuva,Entailment,60,4.9
Uma mulher está atirando em um alvo de prática,Uma mulher está disparando em um alvo de prática,Entailment,61,4.8
"Os meninos estão de pé na frente do carro, que está queimando",Os meninos estão de pé na frente do carro em chamas,Entailment,62,5
Um carro de rali branco está jogando lama no ar e está se aproximando de uma curva na pista,Um veículo de corrida branco está passando por uma poça,Entailment,63,4.2
Um refrigerante está sendo aberto e tomado por uma mulher,Uma mulher está abrindo um refrigerante e o bebendo,Entailment,64,4.8
Suco de laranja está sendo bebido por um homem que está andando em um dia ensolarado,Um homem está bebendo suco de laranja e caminhando,Entailment,65,4.4
A mulher está espremendo suco de um limão,Uma mulher está espremendo um limão,Entailment,66,4.9
O homem está usando uma marreta para quebrar um bloco de concreto que está sobre outra pessoa,Um homem está quebrando uma laje de concreto com uma marreta,Entailment,67,4.4
Um cachorro preto está correndo na grama e sua língua está saindo para fora da boca,"Um cachorro, que é preto, está correndo na grama",Entailment,68,4.3
Um homem solitário está em um estacionamento e está jogando tênis contra um grande muro,Um homem está em um estacionamento e está jogando tênis contra uma grande parede,Entailment,69,4.7
Uma montanha está sendo escalada por dois homens,Os homens estão escalando uma montanha,Entailment,70,4.7
Uma criança jovem está correndo lá fora sobre algumas folhas caídas,Uma criança jovem está correndo ao ar livre sobre as folhas caídas,Entailment,71,4.6
Uma criança jovem está correndo por uma estrada feita de cascalho coberta de folhas mortas,Uma criança jovem está correndo por uma estrada de cascalho que está coberta com folhas mortas,Entailment,72,4.8
A pessoa está escrevendo com um lápis,Uma pessoa está anotando algo com um lápis,Entailment,73,4.9
Um homem está mergulhando em uma piscina,Um homem está mergulhando na água,Entailment,74,4.5
Um homem está fazendo um truque de skate em uma varanda ao ar livre,Um homem está fazendo um truque com um skate,Entailment,75,4.5
Uma mulher está vestindo um casaco longo e preto e um chapéu marrom e está caminhando por um parque com um monte de árvores florescendo,Uma mulher que está vestindo uma longa jaqueta preta e um chapéu marrom está andando através de um parque com muitas árvores florescendo,Entailment,76,4.7
Um skatista está fazendo truques em uma pista,Um homem está andando de skate em uma pista,Entailment,77,4.4
Um homem sem-teto está segurando uma placa e está implorando piedosamente por dinheiro,Um homem sem-teto casa está segurando uma placa e implorando por dinheiro,Entailment,78,4.9
Um panda que é fofo está deitado,Um panda fofo está ficando deitado,Entailment,79,4.9
Os homens estão lutando com seus punhos em um ringue,Os homens estão lutando com os punhos em um ringue,Entailment,80,4.8
Esse grupo de pessoas está praticando salvamento na água e usando coletes salva-vidas,Coletes salva-vidas estão sendo usados por um grupo de pessoas que está praticando salvamento na água,Entailment,81,4.9
Um homem está tocando uma flauta,um homem está tocando a flauta,Entailment,82,4.9
Um homem está fatiando um peixe,Um homem está cortando um peixe,Entailment,83,4.7
A menina adolescente está usando miçangas que são vermelhas,Uma menina adolescente está usando miçangas que são vermelhas,Entailment,84,5
Alguns cavalos estão competindo furiosamente sobre a grama verde e pulando o obstáculo,Alguns cavalos estão competindo furiosamente sobre a grama verde e pulando um obstáculo,Entailment,85,4.7
Dois homens estão segurando varas de pesca e equipamentos de pesca,Dois homens estão segurando varas de pescar,Entailment,86,4.3
Um homem está tocando um violão,Um homem está se apresentando com o violão,Entailment,87,4.7
Um homem está dedilhando o violão,Um homem está tocando o violão,Entailment,88,4.6
O homem está fatiando uma batata,O homem está fatiando a batata,Entailment,89,5
Uma menina com cabelo vermelho e sobrancelhas vermelhas está conversando,Uma menina com cabelos vermelhos e sobrancelhas vermelhas está no meio de uma conversa,Entailment,90,4.6
Um menino pequenino de camisa listrada está escorregando para fora de um tubo verde,Um menino pequeno de camisa listrada está escorregando para fora de um tubo verde,Entailment,91,4.9
Uma menina está batucando as unhas,A menina está batucando suas unhas,Entailment,92,4.9
Um bebê rinoceronte está andando em torno de uma jaula com sua mãe,"Um rinoceronte, que é pequeno, está seguindo um rinoceronte adulto",Entailment,93,4.2
Duas mulheres estão dançando e cantando em frente a muitas pessoas,Duas mulheres estão dançando e cantando na frente de uma multidão,Entailment,94,4.7
Um homem está pensando,O homem está pensando,Entailment,95,5
Um cachorro castanho e branco está pulando no ar com uma bola de tênis em sua boca,Um cachorro castanho e branco está pulando no ar com uma bola de tênis na boca,Entailment,96,5
O campo verde para corrida de cavalos está completamente cheio de jóqueis,"Os jóqueis estão correndo a cavalos no campo, que é completamente verde",Entailment,97,4
Um jovem menino está cantando e tocando violão,Uma criança está cantando e tocando um violão,Entailment,98,4.5
Uma mulher está de pé perto de três crianças,Uma senhora está parada perto de três crianças,Entailment,99,4.9
Um cachorro com pelagem caramelo está pulando para cima e pegando uma bola de tênis,Um cachorro caramelo está pulando para cima e pegando uma bola de tênis,Entailment,100,4.9
Um homem está montando um touro mecânico,O homem está montando um touro mecânico,Entailment,101,4.8
Um texugo está cavando a terra astutamente,O texugo está cavando um buraco,Entailment,102,4.2
A mulher está fritando uma costeleta de porco empanada,Uma mulher está cozinhando costeleta de porco empanada,Entailment,103,4.7
Um cachorro está saltando em um trampolim,Um cachorro está pulando em um trampolim,Entailment,104,5
Um homem toca um piano em um concerto,Um homem está tocando um piano,Entailment,105,4.5
Um homem está descascando uma cebola,Um homem está removendo a pele de uma cebola,Entailment,106,4.8
Um cachorro grande está subindo um morro íngreme,Um cachorro grande está escalando selvagemente um morro íngreme,Entailment,107,4.5
Alguém está perfurando um buraco em um pedaço de madeira com uma furadeira,Um homem está fazendo um buraco em um pedaço de madeira,Entailment,108,4.4
A mulher está adicionando queijo ao molho,A senhora está adicionando queijo ao molho,Entailment,109,4.8
Um dublê de bicicleta está no ar perto de um corpo de água,Uma pessoa em uma bicicleta está no ar perto de um corpo de água,Entailment,110,4.2
Uma jovem mulher está dançando,Uma menina jovem está dançando,Entailment,111,4.7
Um cavalo está sendo montado por um homem,Um homem está andando a cavalo,Entailment,112,4.8
O homem está despejando óleo em alguns tomates,O homem está despejando um pouco de óleo nos tomates,Entailment,113,4.6
Uma mulher está descascando uma batata,Uma batata está sendo descascada por uma mulher,Entailment,114,4.9
Um cachorro preto está pulando de uma pedra em uma lagoa,Um cachorro preto está pulando de uma doca dentro da água,Entailment,115,4.6
Uma mulher está fritando alguma comida,Uma mulher está fritando comida,Entailment,116,4.7
Uma garrafa está sendo lambida pelo gato,O gato está lambendo uma garrafa,Entailment,117,4.9
Um homem sem camisa está conduzindo um cavalo que está puxando uma carroça,Um homem sem camisa está conduzindo uma carroça que está sendo puxada por um cavalo,Entailment,118,4.6
Um homem está tocando uma flauta feita de bambu,O homem está tocando uma flauta,Entailment,119,4.1
Um casal está sentado em um pátio e está encarando o oceano,Um casal está sentado em um pátio e olhando para o oceano,Entailment,120,4.7
Uma menina de uniforme está tocando flauta com uma banda marcial,Uma menina de uniforme está tocando a flauta com uma banda,Entailment,121,4.7
Um homem de terno está de pé em frente a um microfone e cantando,O homem no palco está cantando no microfone,Entailment,122,4.3
Um homem está do lado de fora e está arremessando lâminas em um alvo próximo,Um homem está do lado de fora e está lançando lâminas em um alvo que está próximo,Entailment,123,4.8
Um homem está lavando um grande bife,Um homem está lavando um grande pedaço de carne,Entailment,124,4.6
Uma mulher está despejando ovos em uma frigideira,Uma mulher está despejando ovos em uma panela,Entailment,125,4.8
Uma garota está andando a cavalo,Um cavalo está sendo cavalgado por uma menina,Entailment,126,4.8
As pessoas estão andando de bote e remando,Algumas pessoas estão navegando e remando um bote,Entailment,127,4.8
Algumas mulheres estão dançando alegremente,Algumas mulheres estão dançando,Entailment,128,4.1
A mulher está cortando cebolas em cubos,A senhora está cortando cebolas em cubos,Entailment,129,5
O homem está cantando com emoção e tocando violão,Um homem está tocando o violão,Entailment,130,4.2
Uma mulher está mostrando um cachorro com pelo muito longo em uma exposição canina,Um cachorro com pelo muito longo está sendo exibido por uma mulher em uma exposição canina,Entailment,131,5
Uma mulher está fritando comida,Alguns alimentos estão sendo fritos por uma mulher,Entailment,132,4.5
Uma menina pequenina está dirigindo um carro de brinquedo,A pequenina menina está dirigindo o carro de brinquedo,Entailment,133,4.9
Um homem está dobrando uma tortilha,Uma tortilha está sendo dobrada por uma pessoa,Entailment,134,4.4
O gato está brincando com uma melancia,Este gato está brincando com uma melancia,Entailment,135,5
Três mulheres estão sentadas juntas perto de paredes de tecido,Algumas mulheres estão sentadas juntas perto de paredes de tecidos,Entailment,136,4.7
Uma vaqueira está montando um cavalo marrom e está dando a volta em um barril,Uma vaqueira está montando um cavalo e rodeando um barril,Entailment,137,4.7
Homens estão serrando troncos,Homens estão serrando,Entailment,138,4.3
Uma imagem está sendo desenhada por um homem,A pessoa está desenhando,Entailment,139,4.1
Um menino está jogando um jogo com blocos feitos de madeira,Um menino está jogando um jogo com blocos de madeira,Entailment,140,4.8
Um homem está lendo o e-mail,Alguém está verificando o e-mail,Entailment,141,4.065
O homem cercado por fotógrafos está vestindo um terno cinza e óculos,O homem cercado de homens com uma câmera está vestindo um terno cinza e óculos,Entailment,142,4.4
"Uma menina em um uniforme, que é azul, está rapidamente levantando seu braço","Uma menina de uniforme, que é azul, está levantando seu braço",Entailment,143,4.5
Alguma pessoa está de pé em um vasto campo de gelo glacial,A pessoa está de pé sobre o gelo branco,Entailment,144,4.4
Um palhaço está cantando e pessoas estão dançando,Uma canção está sendo tocada por um palhaço,Entailment,145,4.5
Um homem fazendo snowboard está pulando pelo ar,Um praticante de snowboard está pulando pelo ar,Entailment,146,4.6
A batata está sendo descascada pela senhora,Uma mulher está descascando uma batata,Entailment,147,4.8
Alguns peixes estão nadando rapidamente,Alguns peixes estão nadando,Entailment,148,4.5
A mulher está fatiando alho,A mulher está picando alho,Entailment,149,4.7
Um homem está vestindo uma jaqueta vermelha e de pé ao lado de uma canoa vermelha em algumas rochas com água ao fundo,Um homem está vestindo um casaco vermelho e parado ao lado de uma canoa amarela sobre pedregulhos com água ao fundo,Entailment,150,4.9
Um menino está vestindo uma jaqueta amarela e está pulando de uma pedra,Uma criança está vestindo uma jaqueta amarela e está pulando de uma pedra,Entailment,151,4.6
O praticante de snowboard está saltando sobre da neve branca,Uma pessoa que está praticando snowboard está pulando no ar,Entailment,152,4
Um homem com um chapéu para trás está sentado no chão,Uma pessoa com um chapéu para trás está sentada no chão,Entailment,153,4.6
Um bebê rinoceronte está andando em torno de uma jaula com sua mãe,Um bebê rinoceronte está seguindo um rinoceronte adulto,Entailment,154,4.1
Uma lebre está brincando com um coelho de pelúcia,Um coelho está brincando com um coelho de pelúcia,Entailment,155,4.5
Um menino está checando um calendário,O menino está checando um calendário,Entailment,156,4.9
Um homem está dançando no teto,Uma pessoa está dançando no teto,Entailment,157,4.5
Uma criança pequena está espirrando água dentro de uma piscina infantil azul,A criança está espirrando água em uma pequenina piscina azul,Entailment,158,4.5
Os corredores estão competindo impetuosamente em torno da pista,Os corredores estão competindo em uma corrida,Entailment,159,4.3
O cachorro está sendo levado para passear pela mulher,A mulher está passeando com o cachorro,Entailment,160,4.8
Uma mulher está colocando dois ovos dentro de uma panela de água,Uma mulher está fervendo ovos,Entailment,161,4.2
O homem está distraidamente comendo uma banana perto de uma árvore,Um homem está comendo uma banana,Entailment,162,3.8
Uma mulher velha está dando um aperto de mão em um homem,Um homem e uma mulher estão dando um aperto de mãos,Entailment,163,4.4
Um animal está mordendo o dedo de uma pessoa,Um animal está mordendo o dedo de alguém,Entailment,164,5
Um cachorro está perseguindo uma bola na grama,O cachorro está perseguindo uma bola na grama,Entailment,165,4.9
Dois homens e uma menina na frente de uma parede de madeira estão fazendo caretas engraçadas,Dois homens e uma menina em frente a uma parede de madeira estão posando com caras engraçadas,Entailment,166,4.8
Um homem está passando manteiga em uma fatia de pão,Um homem está passando manteiga em um pedaço de pão,Entailment,167,4.6
Uma menina está tocando uma flauta,Uma menina está tocando um instrumento de sopro,Entailment,168,4.4
Um indivíduo está fervendo quiabo em uma panela,Alguém está fervendo quiabo em uma panela,Entailment,169,4.8
O homem está polvilhando queijo na pizza,Queijo está sendo colocado em uma pizza por um homem,Entailment,170,4.7
Alguém está tocando o violão,Alguém está tocando violão,Entailment,171,4.8
Uma mulher está empanando uma costeleta de porco,Um cozinheiro está cobrindo uma costeleta de porco,Entailment,172,4.3
O homem está desajeitadamente praticando kickboxing com um treinador,O homem está praticando kickboxing com um treinador,Entailment,173,4.5
Um menino pequeno em roupas tingidas de vermelho está pulando no ar,Um menino pequeno de roupas vermelhas está pulando no ar,Entailment,174,4.6
Uma mulher está batucando seus dedos nervosamente,Uma mulher está batucando seus dedos,Entailment,175,4.6
O rosto de um homem está sendo pintado por uma mulher,Uma mulher está pintando o rosto de um homem,Entailment,176,4.9
Um homem está agachado no arbusto e tirando uma fotografia,Um homem está agachado no arbusto e está tirando uma foto,Entailment,177,4.915
Uma mulher está cortando batatas,Uma mulher está cortando as batatas,Entailment,178,4.9
Um indivíduo está dobrando um pedaço de papel,Alguém está dobrando um pedaço de papel,Entailment,179,5
Um jovem menino está cantando e tocando violão,O violão está sendo tocado por uma criança,Entailment,180,4.4
Ovos estão sendo fervidos pela mulher,Uma mulher está fervendo ovos,Entailment,181,4.9
A mulher está passando maquiagem no homem,O rosto de um homem está sendo pintado por uma mulher,Entailment,182,4.5
O homem está operando cautelosamente uma máquina de taquigrafia,O homem está operando uma máquina de taquigrafria,Entailment,183,4.5
O homem está de pé na água na base da cachoeira,Um homem está de pé na água na base de uma cachoeira,Entailment,184,4.9
Um homem está aparando grama,Um cara está aparando o gramado,Entailment,185,4.7
O homem de terno está de pé de frente para um microfone e cantando,O homem no palco está cantando no microfone,Entailment,186,4
Duas crianças estão agachadas sob algumas barras metálicas,Duas crianças estão agachadas sob algumas barras feitas de metal,Entailment,187,5
O vaqueiro de calça azul e vermelha está sendo arremessado por um cavalo,Um cavalo está arremessando o vaqueiro vestindo calça de cor azul e vermelha,Entailment,188,4.9
Um cachorro preto está correndo na grama e sua língua está saindo para fora da boca,"Um cachorro, que tem pelagem preta, está correndo na grama e sua língua está saindo para fora da boca",Entailment,189,4.8
Um homem está tocando teclado,Um músico está tocando um teclado,Entailment,190,4.2
Uma mulher de idade está sentada em um banco e está vestindo uma jaqueta cinza e calça preta,A mulher está sentada em um banco e está usando uma jaqueta cinza e calça preta,Entailment,191,4.4
Uma pessoa está cortando cogumelos com uma faca,Uma pessoa está cortando alguns cogumelos,Entailment,192,4.8
O pássaro preto com um bico amarelo está parado na grama verde,Um pássaro preto com um bico amarelo está de pé na grama verde,Entailment,193,5
Um homem está fatiando pão,Uma pessoa está fatiando um pedaço de pão,Entailment,194,4.4
As crianças de uma família estão brincando pacientemente e esperando,As crianças da família estão brincando e aguardando,Entailment,195,4.5
Uma pessoa está descascando uma banana,Uma banana está sendo descascada por uma pessoa,Entailment,196,4.9
Dois homens estão lutando,Dois homens estão batalhando,Entailment,197,4.8
Um pequeno cachorro preto está perseguindo um pequeno cachorro castanho,"Um cachorro, que é pequeno e preto, está perseguindo um pequeno cachorro castanho",Entailment,198,4.8
Uma mulher está andando em uma moto aquática,Uma moto aquática está sendo pilotada por uma mulher,Entailment,199,5
O menino está checando um calendário,Um menino está olhando um calendário,Entailment,200,4.8
Uma criança está espirrando água em uma piscina para crianças e outros garotos estão brincando ao fundo,Uma criança está espirrando água em uma piscina para crianças e outros meninos estão brincando ao fundo,Entailment,201,4.9
Uma mulher está sendo carregada por um homem,Um homem está carregando uma mulher,Entailment,202,4.9
Um homem está afiando uma faca,Um homem está afiando uma arma,Entailment,203,4.4
O homem de chapéu para vaqueiro está andando por um mercado e está pondo uma mão no seu bolso,O homem de chapéu de vaqueiro está andando pelo mercado e está colocando uma mão no bolso,Entailment,204,4.8
Dois cachorros estão brigando por um frisbee em um lago,Dois cachorros estão lutando por um frisbee em um lago,Entailment,205,4.9
A pequenina menina está dirigindo o carro de brinquedo,Uma menina pequenina está dirigindo um carro de brinquedo,Entailment,206,4.9
Uma pessoa está cortando pimentão em pedaços,A pessoa não está fatiando um dente de alho em pedaços,Entailment,207,3.5
Um cachorro que é peludo e preto está no quintal e está carregando uma cesta em sua boca,Um cachorro que é peludo e preto está em um quintal dos fundos e está carregando uma cesta em sua boca,Entailment,208,5
Um cachorro amarelo está bebendo água da torneira,A água da torneira está sendo bebida por um cachorro amarelo,Entailment,209,4.9
Um menino está pendurando uma vara de pesca e correndo na frente de um peixe,Um menino está pendurando uma vara para pesca e correndo em frente a um peixe,Entailment,210,5
Um gambá está sendo segurado por uma pessoa,Uma pessoa está segurando um gambá,Entailment,211,5
"Um cachorro, que é preto, e outro, que é branco, estão se encarando na rua","Um cachorro, que é preto, e um branco estão encarando um ou outro na rua",Entailment,212,4.9
Um homem está despejando óleo dentro de uma sautese,Um homem está despejando óleo em uma frigideira,Entailment,213,4.5
Um homem está esvaziando um recipiente feito de plástico,Um homem está esvaziando um recipiente de plástico,Entailment,214,4.9
Um gato branco empoleirado em um pequenino armário de madeira está olhando para fora da janela,O gato está olhando para fora da janela na mesa do poleiro,Entailment,215,3.8
Um homem está tocando teclado,Uma pessoa está tocando o teclado,Entailment,216,4.6
Um gato está comendo milho na espiga avidamente,Um gato está comendo milho na espiga,Entailment,217,4.6
Uma mulher está cozinhando um ovo em uma sautese,Uma mulher está preparando um ovo em uma sautese,Entailment,218,4.7
Está nevando em dois cachorros que brincam,Dois cachorros estão brincando na neve,Entailment,219,4
Um jogador de basquete está no chão da quadra e a bola está sendo agarrada por outro,Um jogador de basquete está no chão da quadra e outro está pegando a bola,Entailment,220,4.9
Um grupo de escoteiros está caminhando pela grama,As pessoas estão andando,Entailment,221,3.6
Um homem está dançando na estrada,Um homem está dançando,Entailment,222,4.2
Um homem está amarrando um sapato,Um homem está amarrando o sapato,Entailment,223,4.8
Uma cebola está sendo fatiada por uma mulher,Uma mulher está fatiando uma cebola,Entailment,224,4.9
Alguém está fatiando um tomate,A pessoa está fatiando um vegetal,Entailment,225,4.1
Um homem está cortando uma árvore com um machado,Uma pessoa está derrubando uma árvore com um machado,Entailment,226,4.6
Um rio está sendo atravessado por um cachorro em uma ponte feita de uma árvore caída,Um cachorro está atravessando um rio em uma ponte feita de uma árvore caída,Entailment,227,5
Uma mulher está tocando um violão elétrico,Uma mulher está tocando um violão que é elétrico,Entailment,228,5
Dois cachorros estão zuando na neve,Dois cachorros estão brincando na neve,Entailment,229,4.7
Um homem está cortando pedaços de manteiga em uma tigela de mistura,Pedaços de manteiga estão sendo adicionados à batedeira,Entailment,230,4
Dois cachorros correm rapidamente pelo parque,Dois cachorros estão correndo pelo parque,Entailment,231,4.6
O jogador de futebol americano está usando uma faixa vermelha e branca,Um jogador de futebol americano está usando a faixa vermelha e branca,Entailment,232,4.9
Um homem está correndo estrada abaixo,Um homem está correndo,Entailment,233,4.5
Um gato está jogando com um dispositivo,O gato está brincando com um dispositivo,Entailment,234,5
Um chefe está limpando uma tigela de sopa,Uma tigela de sopa está sendo limpa por um chef,Entailment,235,4.8
Uma mulher está picando alho,O alho está sendo cortado em cubos por uma mulher,Entailment,236,4.8
Um homem está massageando uma mulher,Uma mulher está sendo massageada por um homem,Entailment,237,4.9
Um homem de jaqueta vermelha está de pé perto de um caiaque amarelo em algumas pedras próximo ao oceano,Um homem está vestindo uma jaqueta vermelha e de pé ao lado de uma canoa vermelha em algumas rochas com água ao fundo,Entailment,238,3.9
Alguns gatos estão brincando um com o outro,Os gatos estão brincando um com o outro,Entailment,239,4.8
Alguns jogadores de futebol de vermelho e branco estão pulando e se abraçando,Os jogadores de futebol de vermelho e branco estão pulando e se abraçando,Entailment,240,4.8
Uma menina loira está pegando ondas,Uma menina loira está surfando,Entailment,241,4.7
Duas pessoas estão de pé no oceano e vendo o pôr do sol,Duas pessoas estão de pé no oceano e observando o pôr do sol,Entailment,242,5
Uma mulher está vestindo uma touca egípcia,Uma mulher está usando um chapéu egípcio na cabeça,Entailment,243,4.3
Uma criança está cantando e tocando um violão,Uma criança está tocando violão,Entailment,244,4.2
Uma mulher está tocando um violão,Um violão está sendo tocado por uma mulher,Entailment,245,4.7
Uma pessoa está realizando acrobacias em uma moto,Uma pessoa está realizando truques em uma motocicleta,Entailment,246,4.3
Algum papel está sendo cortado,O papel está sendo cortado com tesoura,Entailment,247,4.9
O homem está cuidadosamente alimentando uma cobra com um rato,O homem está cuidadosamente alimentando a cobra com um rato,Entailment,248,4.8
A apresentação está sendo assistida por uma classe de estudantes,Uma sala de aula está cheia de estudantes,Entailment,249,3.9
As pessoas estão aglomeradas ao redor de uma fogueira à noite,Várias pessoas estão reunidas em volta do fogo à noite,Entailment,250,4.8
Um grupo de pessoas está relaxadamente sentado em ambos os lados de um monumento de pedra vermelha,Um grupo de pessoas está sentado em ambos os lados de uma estrutura de pedra vermelha,Entailment,251,4.3
O homem está tocando um violão acústico,O homem está tocando um violão que é acústico,Entailment,252,4.9
Um panda está comendo um pedaço de bambu,O panda está comendo bambu,Entailment,253,4.6
Dois cachorros estão brincando alegremente na grama,Dois cachorros estão brincando juntos na grama,Entailment,254,4.5
Uma mulher está cortando uma cebola branca,Uma mulher está cortando uma cebola,Entailment,255,4.4
Um chefe está cozinhando uma refeição,Um chefe está preparando uma refeição,Entailment,256,4.5
um homem está tocando a flauta,Um homem está tocando uma flauta,Entailment,257,4.9
